Date,BROS,DBA,FARM,JDEP,KC=F,KDP,MDLZ,NSRGY,SBUX,SJM,TAST,WEST
2021-10-20,61.41999816894531,16.925151824951172,7.989999771118164,,205.5500030517578,31.275054931640625,54.03245162963867,112.51468658447266,102.31285858154297,104.46857452392578,,9.6899995803833
2021-10-21,60.58000183105469,16.757490158081055,7.730000019073486,,203.3000030517578,30.809064865112305,53.91594314575195,114.0059585571289,102.83402252197266,104.50288391113281,,9.6899995803833
2021-10-22,68.86000061035156,16.7486629486084,7.389999866485596,,199.85000610351562,31.059988021850586,54.238582611083984,114.34529113769531,102.9328842163086,105.50672149658203,,9.6899995803833
2021-10-25,66.94000244140625,16.889854431152344,7.429999828338623,,202.5500030517578,30.86283302307129,54.0772590637207,113.27371978759766,103.07662963867188,105.65258026123047,,9.699999809265137
2021-10-26,70.41000366210938,16.986923217773438,7.630000114440918,,208.10000610351562,30.988290786743164,54.51639938354492,113.88094329833984,103.26533508300781,106.99104309082031,,9.699999809265137
2021-10-27,67.87000274658203,16.95162582397461,7.650000095367432,,201.35000610351562,30.647762298583984,54.122074127197266,114.47923278808594,101.99835205078125,105.53245544433594,,9.699999809265137
2021-10-28,68.9800033569336,17.03104591369629,7.739999771118164,,199.9499969482422,31.803775787353516,54.623958587646484,117.14923095703125,101.71977233886719,106.93098449707031,,9.699999809265137
2021-10-29,76.23999786376953,17.022220611572266,7.550000190734863,,203.9499969482422,32.34145736694336,54.43574905395508,117.71179962158203,95.3128890991211,105.41234588623047,,9.71500015258789
2021-11-01,76.25,17.225183486938477,7.610000133514404,,208.6999969482422,32.619258880615234,54.588111877441406,118.32794952392578,98.66458892822266,106.06441497802734,,9.71500015258789
2021-11-02,71.5999984741211,17.163414001464844,7.460000038146973,,208.0500030517578,32.23392105102539,54.99140548706055,117.7832260131836,100.14726257324219,106.14163970947266,,9.739999771118164
2021-11-03,67.77999877929688,17.145761489868164,7.610000133514404,,209.3000030517578,32.34145736694336,55.86967849731445,119.9442367553711,101.18961334228516,107.5658950805664,,9.739999771118164
2021-11-04,69.70999908447266,17.092817306518555,7.489999771118164,,208.60000610351562,32.39522171020508,55.645626068115234,120.98007202148438,100.7852554321289,107.08541107177734,,9.739999771118164
2021-11-05,67.9800033569336,17.004573822021484,8.350000381469727,,203.5500030517578,32.6013298034668,55.79799270629883,120.72112274169922,105.05352783203125,107.91766357421875,,9.729999542236328
2021-11-08,67.80000305175781,16.960451126098633,8.350000381469727,,199.64999389648438,32.04573059082031,55.45741653442383,119.3012924194336,103.48101806640625,107.31707763671875,,9.720000267028809
2021-11-09,64.58000183105469,17.083993911743164,8.25,,205.89999389648438,32.06365203857422,55.780059814453125,120.77468872070312,102.55546569824219,110.32003784179688,,9.720000267028809
2021-11-10,62.29999923706055,17.198707580566406,8.399999618530273,,204.0,32.14430618286133,56.21919631958008,119.9263687133789,102.2034912109375,110.33733367919922,,9.720000267028809
